"price","types","address","latitude","longitude","date","beds","baths","sq.","bath","reception","receptions","bed","TotalBeds","TotalBaths","TotalReceptions","FlatType"
447170,"2 bed maisonette for sale ","Kiln Place, London NW5",51.553442,-0.151135,2021-09-02,"2","0",NA,"1","1","0","0",2,1,1,"maisonette "
799999,"Studio for sale ","Grosvenor Avenue, London N5",51.549498,-0.088656,2021-09-02,"0","0",NA,"0","0","0","0",0,0,0,"Studio "
1300000,"2 bed flat for sale ","Crown Lodge, Elystan Street SW3",51.491753,-0.167764,2021-09-02,"2","2",NA,"0","1","0","0",2,2,1,"flat "
999950,"5 bed terraced house for sale ","Boaters Avenue, Brentford TW8",51.484084,-0.313679,2021-09-02,"5","3",NA,"0","1","0","0",5,3,1,"terraced house "
425000,"1 bed flat for sale ","Hazellville Road, London N19",51.573007,-0.130877,2021-09-02,"0","0",NA,"1","1","0","1",1,1,1,"flat "
1200000,"3 bed flat for sale ","Arkwright Road, Hampstead, London NW3",51.551182,-0.182022,2021-09-02,"3","2",NA,"0","1","0","0",3,2,1,"flat "
148000,"Studio for sale ","Caledonian Road, Islington, London N1",51.540143,-0.116676,2021-09-02,"0","0",NA,"1","1","0","0",0,1,1,"Studio "
625000,"4 bed semi-detached house for sale ","Barmor Close, Harrow HA2",51.600647,-0.356902,2021-09-02,"4","0",NA,"1","0","2","0",4,1,2,"semi-detached house "
3e+06,"7 bed semi-detached house for sale ","Lessar Avenue, London SW4",51.454724,-0.143885,2021-09-02,"7","0","3,488","0","0","0","0",7,0,0,"semi-detached house "
575000,"3 bed end terrace house for sale ","Chatsworth Avenue, Wembley HA9",51.552363,-0.286643,2021-09-02,"3","0",NA,"1","0","2","0",3,1,2,"end terrace house "
8e+05,"4 bed terraced house for sale ","Laburnum Road, London SW19",51.417272,-0.183529,2021-09-02,"4","2",NA,"0","0","2","0",4,2,2,"terraced house "
1100000,"1 bed flat for sale ","Gloucester Walk, London W8",51.504808,-0.194848,2021-09-02,"0","0",NA,"1","1","0","1",1,1,1,"flat "
399950,"2 bed maisonette for sale ","Henley Close, Isleworth TW7",51.476013,-0.335432,2021-09-02,"2","0",NA,"1","1","0","0",2,1,1,"maisonette "
475000,"3 bed end terrace house for sale ","Waddon Road, Croydon, Surrey CR0",51.371244,-0.116161,2021-09-02,"3","0",NA,"1","0","2","0",3,1,2,"end terrace house "
550000,"3 bed semi-detached house for sale ","Hook Road, Epsom KT19",51.342006,-0.26921,2021-09-02,"3","2",NA,"0","0","2","0",3,2,2,"semi-detached house "
3e+05,"3 bed terraced house for sale ","101 Halstead Road, Winchmore Hill, London N21",51.631042,-0.087818,2021-09-02,"3","0",NA,"0","0","0","0",3,0,0,"terraced house "
450000,"4 bed terraced house for sale ","Rugby Road, Dagenham RM9",51.540004,0.118721,2021-09-02,"4","0",NA,"1","1","0","0",4,1,1,"terraced house "
340000,"1 bed flat for sale ","Derbyshire Street, London E2",51.526687,-0.061538,2021-09-02,"0","0",NA,"1","1","0","1",1,1,1,"flat "
370000,"1 bed flat for sale ","Coutts Crescent, St. Albans Road, London NW5",51.547725,-0.153693,2021-09-02,"0","0",NA,"1","1","0","1",1,1,1,"flat "
385000,"1 bed flat for sale ","Whitestile Road, Brentford TW8",51.494207,-0.305826,2021-09-02,"0","0",NA,"1","1","0","1",1,1,1,"flat "
0,"3 bed flat for sale ","City Road, London EC1V",51.529985,-0.0972968780487805,2021-09-02,"3","2",NA,"0","1","0","0",3,2,1,"flat "
